"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Bikaner Sweets",1,4.400000095367432,100.0,20.0
"Bindra's Tandoor Junction",1,4.400000095367432,150.0,25.0
"Binod Pav Bhaji",1,4.400000095367432,100.0,16.0
"Bismillah Stores",1,4.400000095367432,200.0,47.0
"Bites Kati Zone",1,4.400000095367432,100.0,29.0
"Black Panda",1,4.400000095367432,150.0,32.0
"Blue Berrys Cafe",1,4.400000095367432,150.0,30.0
"Bobby Di Rasoi",1,4.400000095367432,150.0,52.0
"Bobi's Bakery",1,4.400000095367432,150.0,22.0
"Bok Choy",1,4.400000095367432,150.0,27.0
