"restaurant_name","cnt","rating"
"Ajay Hotel",1,4.0
"Ajay Khaste",1,3.8
"Ajay's",4,3.8
"Ajay's",4,4.1
"Ajay's",4,4.1
"Ajay's",4,4.3
"Ajay's Burger",1,4.1
"Ajay's Parivar Char Rasta",1,4.3
"Ajay's Takeaway Food",2,4.0
"Ajay's Takeaway Food",2,4.4
"Ajays Takeaway Foods",1,4.2
"Ajeet Restaurant",1,4.0
"Ajit Bakery",2,4.2
"Ajit Bakery",2,4.4
"Ajit Sweets",1,4.0
"Ajji Pork Hotel",1,4.1
"Ajmeer Biriyani",1,4.1
"Ajmeer Biriyani Centre",1,3.9
"Ajmeer Maharaj Hotel",1,4.0
