"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"99 Rotiwala",3.6,200,23,0,1,0,0,0,0,"Bhopal",3
"99 Rotiwala",3.6,200,37,0,1,0,0,0,0,"Indore",3
"99 Rotiwala",4.0,100,37,0,1,0,0,1,0,"Indore",3
"99 Rotiwala LIG",3.9,150,32,0,1,0,0,0,0,"Indore",1
"99 Sabjiwala",3.4,100,43,0,1,0,1,0,0,"Indore",1
"99 Sweet Jars",4.1,200,21,0,0,0,0,0,1,"Amritsar",1
"99 Tasty Food Hub",3.3,50,32,0,0,1,1,0,0,"Ludhiana",1
"99 Thali",3.1,150,37,0,1,0,0,0,0,"Nagpur",1
"99 Trisha Foods",3.8,250,48,0,1,0,1,0,0,"Indore",1
"99 Varieties Dosa & Pav Bhaji",3.7,150,56,1,0,0,1,0,0,"Bangalore",1
"99 Waffles",3.5,550,26,0,0,0,0,0,0,"Mumbai",1
"99 Wala By Qimbu",4.3,200,36,0,0,0,1,0,0,"Nashik",1
"9th Street",4.1,100,33,0,1,0,0,1,0,"Bhubaneswar",1
"9th Street Hideaway Restro And Cafe",4.2,150,27,0,1,1,0,1,0,"Bhubaneswar",1
"A - One Momo!",4.4,250,30,0,0,0,0,0,0,"Ranchi",1
"A & C Burger Shoppee",4.1,500,37,0,0,1,0,0,0,"Agra",1
"A 1 bharit center",4.1,250,25,0,0,0,0,0,0,"Jalgaon",1
"A 2 Pizza",3.8,200,27,0,0,1,0,0,0,"Dehradun",1
"A Balaji Santosh Dhaba",4.1,150,45,0,1,0,0,1,0,"Hyderabad",1
"A Cafe",3.1,150,32,0,0,1,0,0,0,"Guntur",1
"A Ccream Corner",4.0,100,24,0,0,0,0,0,0,"Kolhapur",1
"A Dessert King",3.7,100,47,0,0,0,0,0,1,"NCR",1
"A Gourmesserie",4.4,150,41,0,0,0,0,0,1,"Ahmedabad",1
"A Kit Kat Bakery",4.1,200,21,0,0,1,0,0,1,"Vijayawada",1
"A Lua Restaurant & Bar",4.0,100,31,0,1,0,0,0,0,"Goa",1
"A Marron Burger",3.5,150,49,0,0,1,0,0,0,"Ahmedabad",1
"A Metro Cuisine",3.8,250,56,0,1,0,0,1,0,"Guwahati",1
"A One Bakery",2.6,200,24,0,0,0,0,0,1,"Bareilly",3
"A One Bakery",3.6,50,36,0,0,0,0,0,1,"Udaipur",3
"A One Bakery",4.2,50,29,0,0,1,0,0,1,"Lucknow",3
"A One Bombay Biryani",4.1,150,38,0,1,0,0,1,0,"Ahmedabad",1
"A One Coco",3.7,100,32,0,0,0,0,0,0,"Surat",2
"A One Coco",4.6,450,29,0,0,0,0,0,0,"Surat",2
"A One Cold Coco & Juice Center",4.0,100,34,0,0,0,0,0,0,"Surat",1
"A One Cold Coco And Juice Corner",4.0,200,28,0,0,0,0,0,0,"Surat",1
"A One Fast Food",3.0,350,48,0,1,0,1,1,0,"Agra",1
"A One Fry Center",3.5,400,22,0,1,0,0,0,0,"Vadodara",1
"A One Hotel & Fast Food",3.4,100,49,0,1,0,0,0,0,"Cuttack",1
"A One Hotel & Restaurant",3.7,100,39,0,0,0,0,1,0,"Kolkata",1
"A One Muradabadi Chicken Biryani Corner",3.8,250,41,0,0,0,0,1,0,"Patna",1
"A One Parsi Food",4.0,150,38,0,0,0,1,0,0,"Surat",1
"A Piece Of Cake",3.8,100,41,0,0,0,0,0,1,"Pune",1
"A Pinch Of Salt",3.6,300,45,0,1,1,0,1,0,"Indore",1
"A Pizzariya",3.2,150,34,0,0,0,0,0,0,"Varanasi",1
"A S Food Corner",3.1,100,45,0,1,0,0,0,0,"Meerut",1
"A Silverr Oak",4.0,100,32,0,1,0,0,0,0,"Kolhapur",1
"A Star Kitchen",4.3,100,17,0,0,0,0,1,0,"Puducherry",1
